,Unnamed: 0,section,title,page_no,content,norm_content,tagged_content
0,0,1,What is Physics?,3,Physics is the study of the world around us. In sense we are more qualified to do physics than any other science. From the day we are born we study the things around us in an effort to understand how they work and relate to each other. Learning how to catch or throw ball is physics undertaking for example. In the field of study we refer to as physics we just try to make the things everyone has been studying more clear. We attempt to describe them through simple rules and mathematics. Mathematics is merely the language we use. The best approach to physics is to relate everything you learn to things you have already noticed in your everyday life. Sometimes when you look at things closely you discover things you had overlooked intially. It is the continued scrutiny of everything we know about the world around us that leads people to the lifelong study of physics. You can start with asking simple question like Why is the sky blue? which could lead you to electromagnetic waves which in turn could lead you wave particle duality and to energy levels of atoms and before long you are studying quantum mechanics or the structure of the universe. In the sections that follow notice that we will try to describe how we will communicate the things we are dealing with. This is our langauge. Once this is done we can begin the adventure of looking more closely at the world we live in. ntsDescriptions relating to these questions must be included: What is meant by theory? How does hypothesis become part of law? (a) Define the term laboratory. (b) How does your schools physics laboratory fit this definition? Distinguish between science and technology. ,Physics is the study of the world around us. In sense we are more qualified to do Physics than any other science. From the day we are born we study the things around us in an effort to understand how they Work (physics) and relate to each other. Learning how to catch or throw ball is Physics undertaking for example. In the Field (physics) of study we refer to as Physics we just try to make the things everyone has been studying more clear. We attempt to describe them through simple rules and mathematics. Mathematics is merely the language we use. The best approach to Physics is to relate everything you learn to things you have already noticed in your everyday life. Sometimes when you look at things closely you discover things you had overlooked intially. It is the continued scrutiny of everything we know about the world around us that leads people to the lifelong study of Physics You can start with asking simple question like Why is the sky blue? which could lead you to electromagnetic Wave which in turn could lead you Wave particle duality and to Energy level of atoms and before long you are studying quantum mechanics or the structure of the universe. In the sections that follow notice that we will try to describe how we will communicate the things we are dealing with. This is our langauge. Once this is done we can begin the adventure of looking more closely at the world we live in. ntsDescriptions relating to these questions must be included: What is meant by theory? How does hypothesis become part of law? (a) Define the term laboratory. (b) How does your schools Physics laboratory fit this definition? Distinguish between science and technology. ,<b>Physics</b> is the study of the world around us. In sense we are more qualified to do <b>Physics</b> than any other science. From the day we are born we study the things around us in an effort to understand how they <b>Work (physics)</b> and relate to each other. Learning how to catch or throw ball is <b>Physics</b> undertaking for example. In the <b>Field (physics)</b> of study we refer to as <b>Physics</b> we just try to make the things everyone has been studying more clear. We attempt to describe them through simple rules and mathematics. Mathematics is merely the language we use. The best approach to <b>Physics</b> is to relate everything you learn to things you have already noticed in your everyday life. Sometimes when you look at things closely you discover things you had overlooked intially. It is the continued scrutiny of everything we know about the world around us that leads people to the lifelong study of <b>Physics</b> You can start with asking simple question like Why is the sky blue? which could lead you to electromagnetic <b>Wave</b> which in turn could lead you <b>Wave</b> particle duality and to <b>Energy level</b> of atoms and before long you are studying quantum mechanics or the structure of the universe. In the sections that follow notice that we will try to describe how we will communicate the things we are dealing with. This is our langauge. Once this is done we can begin the adventure of looking more closely at the world we live in. ntsDescriptions relating to these questions must be included: What is meant by theory? How does hypothesis become part of law? (a) Define the term laboratory. (b) How does your schools <b>Physics</b> laboratory fit this definition? Distinguish between science and technology.
1,1,2,Units,9,,,
2,2,2.1,Introduction,9,Imagine you had to make curtains and needed to buy fabric. The shop assistant would need to know how much fabric you needed. Telling her you need fabric wide and long would be insufficient you have to specify the unit (i.e. metres wide and metres long). Without the unit the information is incomplete and the shop assistant would have to guess. If you were making curtains for dolls house the dimensions might be centimetres wide and centimetres long It is not just lengths that have units all physical quantities have units (e.g. time temperature distance etc.). Definition: Physical Quantity physical quantity is anything that you can measure. For example length temperature distance and time are physical quantities. ,Imagine you had to make curtains and needed to buy fabric. The shop assistant would need to know how much fabric you needed. Telling her you need fabric wide and long would be insufficient you have to specify the unit (i.e. Metre wide and Metre long). Without the unit the information is incomplete and the shop assistant would have to guess. If you were making curtains for dolls house the dimensions might be centimetres wide and centimetres long It is not just Length that have units all Physical quantity have units (e.g. time Temperature Distance etc.). Definition: Physical quantity Physical quantity is anything that you can measure. For example Length Temperature Distance and time are Physical quantity ,Imagine you had to make curtains and needed to buy fabric. The shop assistant would need to know how much fabric you needed. Telling her you need fabric wide and long would be insufficient you have to specify the unit (i.e. <b>Metre</b> wide and <b>Metre</b> long). Without the unit the information is incomplete and the shop assistant would have to guess. If you were making curtains for dolls house the dimensions might be centimetres wide and centimetres long It is not just <b>Length</b> that have units all <b>Physical quantity</b> have units (e.g. time <b>Temperature</b> <b>Distance</b> etc.). Definition: <b>Physical quantity</b> <b>Physical quantity</b> is anything that you can measure. For example <b>Length</b> <b>Temperature</b> <b>Distance</b> and time are <b>Physical quantity</b>
3,3,2.2,Unit Systems,9,,,
4,4,2.2.1,SI Units,9,We will be using the SI units in this course. SI units are the internationally agreed upon units. Historically these units are based on the metric system which was developed in France at the time of the French Revolution. Definition: SI Units The name SI units comes from the French Systeme International dUnites which means international system of units. There are seven base SI units. These are listed in Table 2.1. All physical quantities have units which can be built from these seven base units. These seven units were defined to be the base units. So it is possible to create different set of units by defining different set of base units. These seven units are called base units because none of them can be expressed as combinations of the other six. This is identical to bricks and concrete being the base units of building. You can build different things using different combinations of bricks and concrete. The 26 letters of the alphabet are the base units for language like English. Many different words can be formed by using these letters. ,We will be using the SI units in this course. SI units are the internationally agreed upon units. Historically these units are based on the metric system which was developed in France at the time of the French Revolution. Definition: SI Units The name SI units comes from the French Systeme International dUnites which means international system of units. There are seven base SI units. These are listed in Table 2.1. All Physical quantity have units which can be built from these seven base units. These seven units were defined to be the base units. So it is possible to create different set of units by defining different set of base units. These seven units are called base units because none of them can be expressed as combinations of the other six. This is identical to bricks and concrete being the base units of building. You can build different things using different combinations of bricks and concrete. The 26 letters of the alphabet are the base units for language like English. Many different words can be formed by using these letters. ,We will be using the SI units in this course. SI units are the internationally agreed upon units. Historically these units are based on the metric system which was developed in France at the time of the French Revolution. Definition: SI Units The name SI units comes from the French Systeme International dUnites which means international system of units. There are seven base SI units. These are listed in Table 2.1. All <b>Physical quantity</b> have units which can be built from these seven base units. These seven units were defined to be the base units. So it is possible to create different set of units by defining different set of base units. These seven units are called base units because none of them can be expressed as combinations of the other six. This is identical to bricks and concrete being the base units of building. You can build different things using different combinations of bricks and concrete. The 26 letters of the alphabet are the base units for language like English. Many different words can be formed by using these letters.
5,5,2.2.2,The Other Systems of Units,10,The SI Units are not the only units available but they are most widely used. In Science there are three other sets of units that can also be used. These are mentioned here for interest only. c.g.s Units In the c.g.s. system the metre is replaced by the centimetre and the kilogram is replaced by the gram. This is simple change but it means that all units derived from these two are changed. For example the units of force and work are different. These units are used most often in astrophysics and atomic physics. Imperial Units Imperial units arose when kings and queens decided the measures that were to be used in the land. All the imperial base units except for the measure of time are different to those of SI units. This is the unit system you are most likely to encounter if SI units are not used. Examples of imperial units are pounds miles gallons and yards. These units are used by the Americans and British. As you can imagine having different units in use from place to place makes scientific communication very difficult. This was the motivation for adopting set of internationally agreed upon units. Natural Units This is the most sophisticated choice of units. Here the most fundamental discovered quantities (such as the speed of light) are set equal to 1. The argument for this choice is that all other quantities should be built from these fundamental units. This system of units is used in high energy physics and quantum mechanics. ,The SI Units are not the only units available but they are most widely used. In Science there are three other sets of units that can also be used. These are mentioned here for interest only. c.g.s Units In the c.g.s. system the Metre is replaced by the centimetre and the Kilogram is replaced by the gram. This is simple change but it means that all units derived from these two are changed. For example the units of Force and Work (physics) are different. These units are used most often in astrophysics and atomic Physics Imperial Units Imperial units arose when kings and queens decided the measures that were to be used in the land. All the imperial base units except for the measure of time are different to those of SI units. This is the unit system you are most likely to encounter if SI units are not used. Examples of imperial units are pounds miles gallons and yards. These units are used by the Americans and British. As you can imagine having different units in use from place to place makes scientific communication very difficult. This was the motivation for adopting set of internationally agreed upon units. Natural Units This is the most sophisticated choice of units. Here the most fundamental discovered quantities (such as the Speed of Light are set equal to 1. The argument for this choice is that all other quantities should be built from these fundamental units. This system of units is used in high Energy Physics and quantum mechanics. ,The SI Units are not the only units available but they are most widely used. In Science there are three other sets of units that can also be used. These are mentioned here for interest only. c.g.s Units In the c.g.s. system the <b>Metre</b> is replaced by the centimetre and the <b>Kilogram</b> is replaced by the gram. This is simple change but it means that all units derived from these two are changed. For example the units of <b>Force</b> and <b>Work (physics)</b> are different. These units are used most often in astrophysics and atomic <b>Physics</b> Imperial Units Imperial units arose when kings and queens decided the measures that were to be used in the land. All the imperial base units except for the measure of time are different to those of SI units. This is the unit system you are most likely to encounter if SI units are not used. Examples of imperial units are pounds miles gallons and yards. These units are used by the Americans and British. As you can imagine having different units in use from place to place makes scientific communication very difficult. This was the motivation for adopting set of internationally agreed upon units. Natural Units This is the most sophisticated choice of units. Here the most fundamental discovered quantities (such as the <b>Speed</b> of <b>Light</b> are set equal to 1. The argument for this choice is that all other quantities should be built from these fundamental units. This system of units is used in high <b>Energy</b> <b>Physics</b> and quantum mechanics.
6,6,2.3,Writing Units as Words or Symbols,10,Unit names are always written with lowercase first letter for example we write metre and litre. The symbols or abbreviations of units are also written with lowercase initials for example for metre and for litre. The exception to this rule is if the unit is named after person then the symbol is capital letter. For example the kelvin was named after Lord Kelvin and its symbol is K. If the abbreviation of the unit that is named after person has two letters the second letter is lowercase for example Hz for hertz. ,Unit names are always written with lowercase first letter for example we write Metre and litre. The symbols or abbreviations of units are also written with lowercase initials for example for Metre and for litre. The exception to this rule is if the unit is named after person then the symbol is capital letter. For example the kelvin was named after Lord Kelvin and its symbol is K. If the abbreviation of the unit that is named after person has two letters the second letter is lowercase for example Hertz for Hertz ,Unit names are always written with lowercase first letter for example we write <b>Metre</b> and litre. The symbols or abbreviations of units are also written with lowercase initials for example for <b>Metre</b> and for litre. The exception to this rule is if the unit is named after person then the symbol is capital letter. For example the kelvin was named after Lord Kelvin and its symbol is K. If the abbreviation of the unit that is named after person has two letters the second letter is lowercase for example <b>Hertz</b> for <b>Hertz</b>
7,7,2.4,Combinations of SI Base Units,12,To make working with units easier some combinations of the base units are given special names but it is always correct to reduce everything to the base units. Table 2.2 lists some examples of combinations of SI base units that are assigned special names. Do not be concerned if the formulae look unfamiliar at this stage we will deal with each in detail in the chapters ahead (as well as many others) It is very important that you are able to recognise the units correctly. For instance the new- ton (N) is another name for the kilogram metre per second squared (kgms2) while the kilogram metre squared per second squared (kgm2 s2) is called the joule (J). Important: When writing combinations of base SI units place dot () between the units to indicate that different base units are used. For example the symbol for metres per second is correctly written as ms1 and not as ms1 or ms. ,To make Work (physics) with units easier some combinations of the base units are given special names but it is always correct to reduce everything to the base units. Table 2.2 lists some examples of combinations of SI base units that are assigned special names. Do not be concerned if the formulae look unfamiliar at this stage we will deal with each in detail in the chapters ahead (as well as many others) It is very important that you are able to recognise the units correctly. For instance the new- ton (N) is another name for the Kilogram Metre per second squared (kgms2) while the Kilogram Metre squared per second squared (kgm2 s2) is called the Joule (J). Important: When writing combinations of base SI units place dot () between the units to indicate that different base units are used. For example the symbol for Metre per second is correctly written as ms1 and not as ms1 or ms. ,To make <b>Work (physics)</b> with units easier some combinations of the base units are given special names but it is always correct to reduce everything to the base units. Table 2.2 lists some examples of combinations of SI base units that are assigned special names. Do not be concerned if the formulae look unfamiliar at this stage we will deal with each in detail in the chapters ahead (as well as many others) It is very important that you are able to recognise the units correctly. For instance the new- ton (N) is another name for the <b>Kilogram</b> <b>Metre</b> per second squared (kgms2) while the <b>Kilogram</b> <b>Metre</b> squared per second squared (kgm2 s2) is called the <b>Joule</b> (J). Important: When writing combinations of base SI units place dot () between the units to indicate that different base units are used. For example the symbol for <b>Metre</b> per second is correctly written as ms1 and not as ms1 or ms.
8,8,2.5,"Rounding, Scientific Notation and Significant Figures",12,,,
9,9,2.5.1,Rounding Off,12,Certain numbers may take an infinite amount of paper and ink to write out. Not only is that impossible but writing numbers out to high accuracy (many decimal places) is very inconvenient and rarely gives better answers. For this reason we often estimate the number to certain number of decimal places. Rounding off or approximating decimal number to given number of decimal places is the quickest way to approximate number. For example if you wanted to round-off 26525272 to three decimal places then you would first count three places after the decimal. 2652|5272 All numbers to the right of are ignored after you determine whether the number in the third decimal place must be rounded up or rounded down. You round up the final digit (make the digit one more) if the first digit after the was greater or equal to and round down (leave the digit alone) otherwise. So since the first digit after the is we must round up the digit in the third decimal place to and the final answer of 26525272 rounded to three decimal places is 2653. ,Certain numbers may take an infinite amount of paper and ink to write out. Not only is that impossible but writing numbers out to high accuracy (many decimal places) is very inconvenient and rarely gives better answers. For this reason we often estimate the number to certain number of decimal places. Rounding off or approximating decimal number to given number of decimal places is the quickest way to approximate number. For example if you wanted to round-off 26525272 to three decimal places then you would first count three places after the decimal. 2652|5272 All numbers to the right of are ignored after you determine whether the number in the third decimal place must be rounded up or rounded down. You round up the final digit (make the digit one more) if the first digit after the was greater or equal to and round down (leave the digit alone) otherwise. So since the first digit after the is we must round up the digit in the third decimal place to and the final answer of 26525272 rounded to three decimal places is 2653. ,Certain numbers may take an infinite amount of paper and ink to write out. Not only is that impossible but writing numbers out to high accuracy (many decimal places) is very inconvenient and rarely gives better answers. For this reason we often estimate the number to certain number of decimal places. Rounding off or approximating decimal number to given number of decimal places is the quickest way to approximate number. For example if you wanted to round-off 26525272 to three decimal places then you would first count three places after the decimal. 2652|5272 All numbers to the right of are ignored after you determine whether the number in the third decimal place must be rounded up or rounded down. You round up the final digit (make the digit one more) if the first digit after the was greater or equal to and round down (leave the digit alone) otherwise. So since the first digit after the is we must round up the digit in the third decimal place to and the final answer of 26525272 rounded to three decimal places is 2653.
